Rank,Pokemon,Usage %,Raw,%,Real,%
172,Diglett,0.02%,103,0.02%,66,0.02%
173,Whiscash,0.02%,103,0.02%,93,0.02%
174,Mightyena,0.02%,99,0.02%,85,0.02%
175,Kirlia,0.02%,97,0.02%,52,0.01%
176,Parasect,0.02%,94,0.02%,81,0.02%
177,Magcargo,0.02%,93,0.02%,82,0.02%
178,Seviper,0.02%,88,0.02%,76,0.02%
179,Pelipper,0.02%,87,0.02%,69,0.02%
180,Sunflora,0.02%,85,0.02%,83,0.02%
181,Feebas,0.02%,84,0.02%,84,0.02%
182,Minun,0.02%,82,0.02%,49,0.01%
183,Corsola,0.02%,76,0.02%,54,0.01%
184,Tangela,0.02%,74,0.02%,60,0.02%
185,Delcatty,0.02%,72,0.02%,65,0.02%
186,Onix,0.02%,70,0.02%,59,0.02%
187,Lickitung,0.02%,70,0.02%,56,0.02%
188,Girafarig,0.02%,69,0.02%,53,0.01%
189,Wigglytuff,0.01%,67,0.02%,54,0.01%
190,Chimecho,0.01%,63,0.01%,54,0.01%
191,Noctowl,0.01%,61,0.01%,51,0.01%
192,Kadabra,0.01%,60,0.01%,49,0.01%
193,Clamperl,0.01%,59,0.01%,38,0.01%
194,Ledian,0.01%,50,0.01%,46,0.01%
195,Eevee,0.01%,50,0.01%,37,0.01%
196,Plusle,0.01%,47,0.01%,41,0.01%
197,Beautifly,0.01%,44,0.01%,35,0.01%
198,Dewgong,0.01%,43,0.01%,37,0.01%
199,Delibird,0.01%,42,0.01%,36,0.01%
200,Dustox,0.01%,40,0.01%,31,0.01%
201,Duskull,0.01%,40,0.01%,36,0.01%
202,Ditto,0.01%,39,0.01%,34,0.01%
203,Venonat,0.01%,38,0.01%,31,0.01%
204,Fearow,0.01%,37,0.01%,32,0.01%
205,Castform,0.01%,32,0.01%,27,0.01%
206,Aipom,0.01%,30,0.01%,24,0.01%
207,Relicanth,0.01%,29,0.01%,21,0.01%
208,Porygon,0.01%,28,0.01%,25,0.01%
209,Farfetch'd,0.01%,24,0.01%,21,0.01%
210,Poliwhirl,0.01%,23,0.01%,18,0.01%
211,Luvdisc,0.01%,23,0.01%,18,0.01%
212,Shelgon,0.01%,23,0.01%,17,0.00%
213,Spinda,0.00%,22,0.01%,17,0.00%
214,Rattata,0.00%,22,0.01%,13,0.00%
215,Vigoroth,0.00%,22,0.01%,14,0.00%
216,Magnemite,0.00%,20,0.00%,18,0.01%
217,Corphish,0.00%,20,0.00%,17,0.00%
218,Aron,0.00%,19,0.00%,14,0.00%
219,Grovyle,0.00%,19,0.00%,18,0.01%
220,Bellsprout,0.00%,18,0.00%,18,0.01%
221,Caterpie,0.00%,18,0.00%,9,0.00%
222,Huntail,0.00%,17,0.00%,13,0.00%
223,Golbat,0.00%,17,0.00%,15,0.00%
224,Horsea,0.00%,15,0.00%,6,0.00%
225,Ivysaur,0.00%,15,0.00%,14,0.00%
226,Ariados,0.00%,14,0.00%,14,0.00%
227,Wailmer,0.00%,14,0.00%,8,0.00%
228,Pupitar,0.00%,13,0.00%,13,0.00%
229,Magikarp,0.00%,13,0.00%,11,0.00%
230,Unown,0.00%,12,0.00%,10,0.00%
231,Geodude,0.00%,12,0.00%,8,0.00%
232,Pidgey,0.00%,12,0.00%,4,0.00%
233,Mankey,0.00%,12,0.00%,9,0.00%
234,Zigzagoon,0.00%,12,0.00%,11,0.00%
235,Dragonair,0.00%,12,0.00%,9,0.00%
236,Metang,0.00%,11,0.00%,9,0.00%
237,Sunkern,0.00%,11,0.00%,11,0.00%
238,Kabuto,0.00%,11,0.00%,8,0.00%
239,Slowpoke,0.00%,11,0.00%,7,0.00%
240,Surskit,0.00%,11,0.00%,6,0.00%
